Time [s], Analyzer Name,Device, Decoded Protocol Result
3.081162500000000,I2C,0x18,Setup Write to [0x18] + ACK
3.081186020000000,I2C,0x18,0x0D + ACK
3.082126980000000,I2C,0x18,0x01 + ACK
3.082163100000000,I2C,0x18,Setup Write to [0x18] + ACK
3.082186620000000,I2C,0x18,0x0E + ACK
3.083126840000000,I2C,0x18,0x00 + ACK
3.093131220000000,I2C,0x18,Setup Write to [0x18] + ACK
3.093154740000000,I2C,0x18,0x1B + ACK
3.094126460000000,I2C,0x18,0x00 + ACK
3.094161820000000,I2C,0x18,Setup Write to [0x18] + ACK
3.094185340000000,I2C,0x18,0x3C + ACK
3.095126300000000,I2C,0x18,0x19 + ACK
3.095161940000000,I2C,0x18,Setup Write to [0x18] + ACK
3.095185440000000,I2C,0x18,0x00 + ACK
3.096126160000000,I2C,0x18,0x01 + ACK
3.096161280000000,I2C,0x18,Setup Write to [0x18] + ACK
3.096184800000000,I2C,0x18,0x21 + ACK
3.097126260000000,I2C,0x18,0x4E + ACK
3.097162380000000,I2C,0x18,Setup Write to [0x18] + ACK
3.097185900000000,I2C,0x18,0x22 + ACK
3.098126120000000,I2C,0x18,0x70 + ACK
3.098161740000000,I2C,0x18,Setup Write to [0x18] + ACK
3.098185240000000,I2C,0x18,0x23 + ACK
3.099126220000000,I2C,0x18,0x44 + ACK
3.099161580000000,I2C,0x18,Setup Write to [0x18] + ACK
3.099185100000000,I2C,0x18,0x2E + ACK
3.100126060000000,I2C,0x18,0x0B + ACK
3.100161700000000,I2C,0x18,Setup Write to [0x18] + ACK
3.100185200000000,I2C,0x18,0x2C + ACK
3.101125920000000,I2C,0x18,0xE0 + ACK
3.101161540000000,I2C,0x18,Setup Write to [0x18] + ACK
3.101185060000000,I2C,0x18,0x00 + ACK
3.102126020000000,I2C,0x18,0x03 + ACK
3.102161640000000,I2C,0x18,Setup Write to [0x18] + ACK
3.102185160000000,I2C,0x18,0x10 + ACK
3.103125880000000,I2C,0x18,0x01 + ACK
3.103161500000000,I2C,0x18,Setup Write to [0x18] + ACK
3.103185000000000,I2C,0x18,0x00 + ACK
3.104125980000000,I2C,0x18,0x00 + ACK
3.104160840000000,I2C,0x18,Setup Write to [0x18] + ACK
3.104184360000000,I2C,0x18,0x43 + ACK
3.105125820000000,I2C,0x18,0x8C + ACK
3.105161460000000,I2C,0x18,Setup Write to [0x18] + ACK
3.105184960000000,I2C,0x18,0x30 + ACK
3.106125680000000,I2C,0x18,0x80 + ACK
3.106161300000000,I2C,0x18,Setup Write to [0x18] + ACK
3.106184820000000,I2C,0x18,0x33 + ACK
3.107125780000000,I2C,0x18,0x14 + ACK
3.307120980000000,I2C,0x18,Setup Write to [0x18] + ACK
3.307144480000000,I2C,0x18,0x2E + ACK
3.308120320000000,I2C,0x18,Setup Read to [0x18] + ACK
3.308143820000000,I2C,0x18,0x10 + NAK
3.309121900000000,I2C,0x18,Setup Write to [0x18] + ACK
3.309145420000000,I2C,0x18,0x00 + ACK
3.310116120000000,I2C,0x18,0x01 + ACK
3.310151260000000,I2C,0x18,Setup Write to [0x18] + ACK
3.310174760000000,I2C,0x18,0x24 + ACK
3.311116220000000,I2C,0x18,0x7F + ACK
3.311151600000000,I2C,0x18,Setup Write to [0x18] + ACK
3.311175120000000,I2C,0x18,0x25 + ACK
3.312116080000000,I2C,0x18,0x7F + ACK
3.312151700000000,I2C,0x18,Setup Write to [0x18] + ACK
3.312175220000000,I2C,0x18,0x26 + ACK
3.313115940000000,I2C,0x18,0x7F + ACK
3.363118660000000,I2C,0x18,Setup Write to [0x18] + ACK
3.363142180000000,I2C,0x18,0x28 + ACK
3.364113640000000,I2C,0x18,0x00 + ACK
3.364149760000000,I2C,0x18,Setup Write to [0x18] + ACK
3.364173280000000,I2C,0x18,0x29 + ACK
3.365113500000000,I2C,0x18,0x00 + ACK
3.365149120000000,I2C,0x18,Setup Write to [0x18] + ACK
3.365172620000000,I2C,0x18,0x2A + ACK
3.366113600000000,I2C,0x18,0x00 + ACK
3.416116080000000,I2C,0x18,Setup Write to [0x18] + ACK
3.416139580000000,I2C,0x18,0x1F + ACK
3.417111040000000,I2C,0x18,0x00 + ACK
3.417146680000000,I2C,0x18,Setup Write to [0x18] + ACK
3.417170180000000,I2C,0x18,0x20 + ACK
3.418110900000000,I2C,0x18,0x00 + ACK
3.469112080000000,I2C,0x18,Setup Write to [0x18] + ACK
3.469135600000000,I2C,0x18,0x28 + ACK
3.470108560000000,I2C,0x18,0x06 + ACK
3.470144680000000,I2C,0x18,Setup Write to [0x18] + ACK
3.470168200000000,I2C,0x18,0x29 + ACK
3.471108400000000,I2C,0x18,0x06 + ACK
3.471144040000000,I2C,0x18,Setup Write to [0x18] + ACK
3.471167540000000,I2C,0x18,0x1F + ACK
3.472108500000000,I2C,0x18,0xC2 + ACK
3.472143880000000,I2C,0x18,Setup Write to [0x18] + ACK
3.472167400000000,I2C,0x18,0x24 + ACK
3.473108360000000,I2C,0x18,0x92 + ACK
3.473143980000000,I2C,0x18,Setup Write to [0x18] + ACK
3.473167500000000,I2C,0x18,0x25 + ACK
3.474108220000000,I2C,0x18,0x92 + ACK
3.524110700000000,I2C,0x18,Setup Write to [0x18] + ACK
3.524134200000000,I2C,0x18,0x00 + ACK
3.525105920000000,I2C,0x18,0x00 + ACK
3.525141540000000,I2C,0x18,Setup Write to [0x18] + ACK
3.525165060000000,I2C,0x18,0x3F + ACK
3.526105780000000,I2C,0x18,0xD5 + ACK
3.526143140000000,I2C,0x18,Setup Write to [0x18] + ACK
3.526166660000000,I2C,0x18,0x41 + ACK
3.527105880000000,I2C,0x18,0xDC + ACK
3.527141240000000,I2C,0x18,Setup Write to [0x18] + ACK
3.527164760000000,I2C,0x18,0x42 + ACK
3.528105720000000,I2C,0x18,0xDC + ACK
3.528141100000000,I2C,0x18,Setup Write to [0x18] + ACK
3.528164620000000,I2C,0x18,0x26 + ACK
3.529109700000000,I2C,0x18,Setup Read to [0x18] + ACK
3.529133200000000,I2C,0x18,0x00 + NAK
3.540110060000000,I2C,0x18,Setup Write to [0x18] + ACK
3.540133560000000,I2C,0x18,0x26 + ACK
3.541108880000000,I2C,0x18,Setup Read to [0x18] + ACK
3.541132400000000,I2C,0x18,0x01 + NAK
3.552109260000000,I2C,0x18,Setup Write to [0x18] + ACK
3.552132760000000,I2C,0x18,0x26 + ACK
3.553108340000000,I2C,0x18,Setup Read to [0x18] + ACK
3.553131860000000,I2C,0x18,0x01 + NAK
3.564108700000000,I2C,0x18,Setup Write to [0x18] + ACK
3.564132220000000,I2C,0x18,0x26 + ACK
3.565107780000000,I2C,0x18,Setup Read to [0x18] + ACK
3.565131300000000,I2C,0x18,0x01 + NAK
3.576108140000000,I2C,0x18,Setup Write to [0x18] + ACK
3.576131660000000,I2C,0x18,0x26 + ACK
3.577107240000000,I2C,0x18,Setup Read to [0x18] + ACK
3.577130760000000,I2C,0x18,0x01 + NAK
3.588107600000000,I2C,0x18,Setup Write to [0x18] + ACK
3.588131120000000,I2C,0x18,0x26 + ACK
3.589106680000000,I2C,0x18,Setup Read to [0x18] + ACK
3.589130200000000,I2C,0x18,0x01 + NAK
3.600107040000000,I2C,0x18,Setup Write to [0x18] + ACK
3.600130560000000,I2C,0x18,0x26 + ACK
3.601106140000000,I2C,0x18,Setup Read to [0x18] + ACK
3.601129660000000,I2C,0x18,0x01 + NAK
3.612106500000000,I2C,0x18,Setup Write to [0x18] + ACK
3.612130020000000,I2C,0x18,0x26 + ACK
3.613105580000000,I2C,0x18,Setup Read to [0x18] + ACK
3.613129100000000,I2C,0x18,0x01 + NAK
3.624105940000000,I2C,0x18,Setup Write to [0x18] + ACK
3.624129460000000,I2C,0x18,0x26 + ACK
3.625105040000000,I2C,0x18,Setup Read to [0x18] + ACK
3.625128560000000,I2C,0x18,0x01 + NAK
3.636105400000000,I2C,0x18,Setup Write to [0x18] + ACK
3.636128920000000,I2C,0x18,0x26 + ACK
3.637104480000000,I2C,0x18,Setup Read to [0x18] + ACK
3.637128000000000,I2C,0x18,0x01 + NAK
3.648104840000000,I2C,0x18,Setup Write to [0x18] + ACK
3.648128360000000,I2C,0x18,0x26 + ACK
3.649103940000000,I2C,0x18,Setup Read to [0x18] + ACK
3.649127440000000,I2C,0x18,0x01 + NAK
3.660104300000000,I2C,0x18,Setup Write to [0x18] + ACK
3.660127800000000,I2C,0x18,0x26 + ACK
3.661103380000000,I2C,0x18,Setup Read to [0x18] + ACK
3.661126900000000,I2C,0x18,0x01 + NAK
3.672103500000000,I2C,0x18,Setup Write to [0x18] + ACK
3.672127000000000,I2C,0x18,0x26 + ACK
3.673102580000000,I2C,0x18,Setup Read to [0x18] + ACK
3.673126100000000,I2C,0x18,0x01 + NAK
3.684102940000000,I2C,0x18,Setup Write to [0x18] + ACK
3.684126460000000,I2C,0x18,0x26 + ACK
3.685102040000000,I2C,0x18,Setup Read to [0x18] + ACK
3.685125540000000,I2C,0x18,0x01 + NAK
3.696102400000000,I2C,0x18,Setup Write to [0x18] + ACK
3.696125900000000,I2C,0x18,0x26 + ACK
3.697101480000000,I2C,0x18,Setup Read to [0x18] + ACK
3.697125000000000,I2C,0x18,0x01 + NAK
3.708101840000000,I2C,0x18,Setup Write to [0x18] + ACK
3.708125360000000,I2C,0x18,0x26 + ACK
3.709100940000000,I2C,0x18,Setup Read to [0x18] + ACK
3.709124440000000,I2C,0x18,0x01 + NAK
3.720101300000000,I2C,0x18,Setup Write to [0x18] + ACK
